offset	emotion	judge_0	judge_1	judge_2	judge_3	judge_4	judge_5	judge_6	judge_7	judge_8	num_judges
0	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
2	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
4	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
6	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
8	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
10	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
12	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
14	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
16	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
18	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
20	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
22	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
24	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
26	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
28	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
30	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
32	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
34	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
36	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
38	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
40	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
42	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
44	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
46	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
48	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
50	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
52	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
54	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0
