timestep	actor	recipient	bodypart_actor	bodypart_recipient	label	intensity_of_body_contact	valence_actor	valence_recipient	intention	audio_information
0.0					NONE					
2.0					NONE					
4.0					NONE					
6.0					NONE					
8.0					NONE					
10.0					NONE					
12.0					NONE					
14.0					NONE					
16.0					NONE					
18.0					NONE					
20.0					NONE					
22.0					NONE					
24.0					NONE					
26.0					NONE					
28.0					NONE					
30.0					NONE					
32.0					NONE					
34.0					NONE					
36.0					NONE					
38.0					NONE					
40.0					NONE					
42.0					NONE					
44.0					NONE					
46.0					NONE					
48.0					NONE					
50.0					NONE					
52.0					NONE					
54.0					NONE					
56.0					NONE					
58.0					NONE					
60.0					NONE					
62.0					NONE					
64.0					NONE					
66.0					NONE					
68.0					NONE					
70.0					NONE					
72.0					NONE					
74.0					NONE					
76.0					NONE					
78.0					NONE					
80.0					NONE					
82.0					NONE					
84.0					NONE					
86.0					NONE					
88.0					NONE					
90.0					NONE					
92.0					NONE					
94.0					NONE					
96.0					NONE					
98.0					NONE					
100.0					NONE					
102.0					NONE					
104.0					NONE					
106.0					NONE					
108.0					NONE					
110.0					NONE					
112.0					NONE					
114.0					NONE					
116.0					NONE					
118.0					NONE					
120.0					NONE					
122.0					NONE					
124.0					NONE					
126.0					NONE					
128.0					NONE					
130.0					NONE					
132.0					NONE					
134.0					NONE					
136.0					NONE					
138.0					NONE					
140.0					NONE					
142.0					NONE					
144.0					NONE					
146.0					NONE					
148.0					NONE					
150.0					NONE					
152.0					NONE					
154.0					NONE					
156.0					NONE					
158.0					NONE					
160.0					NONE					
162.0					NONE					
164.0					NONE					
166.0					NONE					
168.0					NONE					
170.0					NONE					
172.0					NONE					
174.0					NONE					
176.0					NONE					
178.0					NONE					
180.0					NONE					
182.0					NONE					
184.0					NONE					
186.0					NONE					
188.0					NONE					
190.0					NONE					
192.0					NONE					
194.0					NONE					
196.0					NONE					
198.0					NONE					
200.0					NONE					
202.0					NONE					
204.0					NONE					
206.0					NONE					
208.0					NONE					
210.0					NONE					
212.0					NONE					
214.0					NONE					
216.0					NONE					
218.0					NONE					
220.0					NONE					
222.0					NONE					
224.0					NONE					
226.0					NONE					
228.0					NONE					
230.0					NONE					
232.0					NONE					
234.0					NONE					
236.0					NONE					
238.0					NONE					
240.0					NONE					
242.0					NONE					
244.0					NONE					
246.0					NONE					
248.0					NONE					
250.0					NONE					
252.0					NONE					
254.0					NONE					
256.0					NONE					
258.0					NONE					
260.0					NONE					
262.0					NONE					
264.0					NONE					
266.0					NONE					
268.0					NONE					
270.0					NONE					
272.0					NONE					
274.0					NONE					
276.0					NONE					
278.0					NONE					
280.0					NONE					
282.0	MEN	FORREST	HAND		CHANGE_POSITION	1.0	POSITIVE	POSITIVE	1.0	
284.0	MEN	FORREST	HAND		CHANGE_POSITION	1.0	POSITIVE	POSITIVE	1.0	
286.0	MEN	FORREST	HAND	CHEST	CHANGE_POSITION	1.0	POSITIVE	POSITIVE	1.0	
288.0					NONE					
290.0	MRS_GUMP	FORREST	HAND	LEG	FIX_CLOTHING	1.0	POSITIVE	POSITIVE	1.0	
292.0					NONE					
294.0					NONE					
296.0					NONE					
298.0					NONE					
300.0					NONE					
302.0					NONE					
304.0					NONE					
306.0					NONE					
308.0					NONE					
310.0					NONE					
312.0					NONE					
314.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
314.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
316.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
316.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
318.0					NONE					
320.0					NONE					
322.0					NONE					
324.0					NONE					
326.0					NONE					
328.0					NONE					
330.0					NONE					
332.0					NONE					
334.0					NONE					
336.0					NONE					
338.0					NONE					
340.0					NONE					
342.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
342.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
344.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
344.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
346.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
346.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
348.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
348.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
350.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
350.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
352.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
352.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
352.0	MRS_GUMP	FORREST	HAND	ARM	PULL_SOMEBODY	1.0	POSITIVE	NEGATIVE	1.0	AUDITORY
354.0					NONE					
356.0	MRS_GUMP	FORREST	HAND			1.0	POSITIVE	NEGATIVE	1.0	AUDITORY
358.0					NONE					
360.0	FORREST	MRS_GUMP	ARM	SHOULDER	HOLD	0.0	NEGATIVE	POSITIVE	1.0	
362.0					NONE					
364.0	MRS_GUMP	FORREST	HAND	ABDOMEN	BRUSH PAST	0.0	POSITIVE	POSITIVE	1.0	
364.0	MRS_GUMP	FORREST	HAND	ARM	HOLD	1.0	POSITIVE	NEGATIVE	1.0	
366.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
368.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
370.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
