start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
282.32,286.92,MEN,FORREST,HAND,BACK,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,NARRATION
290.68,292.48,MRS_GUMP,FORREST,HAND,LEG,FIX_CLOTHING,0,STRONG_POSITIVE,POSITIVE,1,
314.48,316.60,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,0,
314.48,316.60,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,0,
343.56,351.80,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,0,NARRATION
343.56,351.80,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,0,NARRATION
356.04,358.60,MRS_GUMP,FORREST,HAND,HIP,HOLD,1,POSITIVE,POSITIVE,1,AUDITORY
366.40,376.80,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
386.00,427.76,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,0,
386.00,427.76,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,0,
427.80,433.00,MRS_GUMP,FORREST,HAND,SHOULDER,HOLD,0,POSITIVE,POSITIVE,1,
680.28,681.80,FORREST,MRS_GUMP,SHOULDER ARM,SHOULDER ARM,NESTLE,0,POSITIVE,POSITIVE,0,
680.28,681.80,MRS_GUMP,FORREST,SHOULDER ARM,SHOULDER ARM,NESTLE,0,POSITIVE,POSITIVE,0,
686.20,688.12,FORREST,MRS_GUMP,SHOULDER ARM,SHOULDER ARM,NESTLE,0,POSITIVE,POSITIVE,0,
686.20,688.12,MRS_GUMP,FORREST,SHOULDER ARM,SHOULDER ARM,NESTLE,0,POSITIVE,POSITIVE,0,
689.00,689.60,MRS_GUMP,FORREST,HAND,ARM,PULL_SOMEBODY,1,NEGATIVE,NEGATIVE,1,
713.24,717.96,MRS_GUMP,FORREST,HAND,FACE,HOLD,0,POSITIVE,POSITIVE,1,
717.20,717.60,MRS_GUMP,FORREST,FACE,FACE,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
765.76,770.00,CHILDREN,CHILDREN,ARM,ARM,NESTLE,0,POSITIVE,POSITIVE,0,
840.64,842.80,JENNY,FORREST,HAND,HAND,SHAKE_HANDS,1,POSITIVE,POSITIVE,1,
857.60,861.44,FORREST,JENNY,ARM,ARM,NESTLE,0,POSITIVE,POSITIVE,0,
857.60,861.44,JENNY,FORREST,ARM,ARM,NESTLE,0,POSITIVE,POSITIVE,0,
873.12,881.12,JENNY,FORREST,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
884.72,886.00,FORREST,JENNY,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,0,
884.72,886.00,JENNY,FORREST,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,0,
906.56,909.12,JENNY,FORREST,HAND,HAND,CHANGE_POSITION,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
912.40,913.20,JENNY,FORREST,HAND,SHOULDER,BRUSH PAST,0,POSITIVE,POSITIVE,1,
1073.40,1074.04,FORREST,JENNY,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,NARRATION
1073.40,1074.04,JENNY,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,NARRATION
1079.00,1082.00,FORREST,JENNY,HAND,HAND,PULL_SOMEBODY,1,POSITIVE,POSITIVE,1,NARRATION
1079.00,1082.00,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,1,POSITIVE,POSITIVE,1,NARRATION
1088.60,1090.36,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,1,POSITIVE,POSITIVE,1,
1136.96,1144.72,JENNY,FORREST,ARM,CHEST,CUDDLE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1226.48,1226.72,MEN,MEN,CHEST,BACK,JOSTLE,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,NARRATION
1248.76,1250.00,MEN,FORREST,HAND,BACK,NUDGE,1,POSITIVE,POSITIVE,1,
1251.88,1253.56,MEN,MEN,ARM,ARM,NESTLE,0,POSITIVE,POSITIVE,0,
1282.16,1282.92,FORREST,CROWD,CHEST,CHEST,JOSTLE,1,NEGATIVE,NEGATIVE,0,NARRATION
1290.80,1292.36,MEN,MEN,HAND,SHOULDER,BRUSH PAST,0,POSITIVE,POSITIVE,1,
1313.60,1314.56,MEN,JENNY,,,HUG,1,POSITIVE,POSITIVE,0,NARRATION
1313.60,1314.56,JENNY,MEN,,,HUG,1,POSITIVE,POSITIVE,0,NARRATION
1333.76,1339.48,FORREST,MEN,HAND,FACE,HIT,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,NARRATION
1340.00,1341.56,JENNY,FORREST,HAND,BACK,PULL_SOMEBODY,1,NEGATIVE,NEGATIVE,1,NARRATION
1341.00,1341.72,JENNY,FORREST,HAND,BACK,HIT,1,NEGATIVE,NEGATIVE,1,AUDITORY
1346.12,1346.80,JENNY,FORREST,HAND,SHOULDER,PUSH_AWAY,1,NEGATIVE,NEGATIVE,1,
1348.40,1351.24,MEN,JENNY,HAND,HAND,PUSH_AWAY,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
1383.88,1385.28,JENNY,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,NARRATION
1468.48,1470.40,JENNY,FORREST,HAND,HAND,HOLD_HANDS,1,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
1469.00,1478.84,FORREST,JENNY,HAND,CHEST,BRUSH PAST,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
1496.84,1521.00,JENNY,FORREST,HEAD,SHOULDER,CUDDLE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1502.32,1503.12,JENNY,FORREST,HAND,FACE,PAT,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
1515.08,1515.68,JENNY,FORREST,FACE,FACE,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
1537.76,1540.44,MEN,MEN,CHEST,BACK,JOSTLE,1,NEGATIVE,NEGATIVE,0,NARRATION
1580.60,1582.72,MEN,MEN,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
