start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
282.00,286.00,MEN,FORREST,BACK LEG,ARM HAND,CHANGE_POSITION,0,POSITIVE,POSITIVE,1,NARRATION
290.00,291.00,MRS_GUMP,FORREST,HAND,LEG BUTTOCKS,FIX_CLOTHING,0,POSITIVE,POSITIVE,1,
314.00,316.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
314.00,316.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
342.00,352.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
342.00,352.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,NARRATION
352.00,353.00,MRS_GUMP,FORREST,HAND ARM,ARM HAND,PULL_SOMEBODY,1,POSITIVE,NEGATIVE,1,
356.00,357.00,MRS_GUMP,FORREST,HAND ARM,ARM BACK ABDOMEN,PULL_SOMEBODY,1,POSITIVE,NEGATIVE,1,
360.00,361.00,MRS_GUMP,FORREST,SHOULDER,ABDOMEN ARM,PULL_SOMEBODY,1,POSITIVE,NEGATIVE,1,
363.00,363.00,MRS_GUMP,FORREST,HAND ARM SHOULDER,LEG,PULL_SOMEBODY,0,POSITIVE,NEGATIVE,1,
363.00,365.00,MRS_GUMP,FORREST,HAND SHOULDER,LEG HIP ARM,BRUSH PAST,0,POSITIVE,POSITIVE,1,
365.00,375.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
385.00,402.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
385.00,402.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
402.00,425.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
402.00,425.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
426.00,427.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
426.00,427.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
427.00,432.00,MRS_GUMP,FORREST,HAND,ARM SHOULDER,HOLD,0,POSITIVE,POSITIVE,1,
